# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 76, mean track length: 2
26 3.2918909626160491 -2.7423968789378113 33.473254124665402 145 145 145 0.16308915220775849 93 454 89 564
27 3.2918909626160491 -2.7423968789378113 33.473254124665402 145 145 145 0.16308915220775849 93 455 89 565
28 2.7226419927274392 -2.7437264713446372 33.262661398684124 144 144 144 0.036014478291505322 93 466 89 566
29 2.756920648331886 -2.7325832900326548 33.26412655061872 147 147 147 0.27663869097910199 93 467 89 567
30 6.2773608952487923 -1.942130760228286 34.978549619327836 232 232 232 0.16951534679337665 93 456 89 572
31 6.038081236549961 -1.8517458923051249 34.78969471095246 180 180 180 0.0089266651438125837 93 465 89 576
32 5.9879186761477623 -1.7849955281209817 34.79414339283985 199 199 199 0.076622105420859565 93 469 89 578
33 6.0110010186606431 -1.7457925867896205 34.81952725566444 184 184 184 0.092558641244673528 93 470 89 579
34 4.4934839875512216 -3.4718232201942407 34.037270370792228 120 120 120 0.065306347605164766 93 423 89 704
35 3.9058716258966921 -3.2859695422998394 33.178784708111408 166 166 166 0.41790599569994769 93 727 89 706
36 4.9837189874210832 -3.0829632149713802 34.354034157113489 111 111 111 0.16812732986683648 93 428 89 710
37 2.1813763494826759 -3.1159959651204141 33.136524153558334 171 171 171 0.13719156574738633 93 607 89 711
38 2.2051886574303561 -3.0836612467829498 33.141253049172576 153 153 153 0.17965110477898402 93 734 89 713
39 2.2797144194973362 -3.002518853911027 33.158508560583456 153 153 153 0.19884724331772052 93 609 89 714
40 2.2797144194973362 -3.002518853911027 33.158508560583456 153 153 153 0.19884724331772052 93 608 89 715
41 3.9592175039196142 -2.9598511165370125 33.778063128910389 131 131 131 0.074176273287939909 93 596 89 716
42 2.4528292672395899 -2.8733720149252999 33.200582055457637 143 143 143 0.31360221013975353 93 613 89 722
43 2.4528292672395899 -2.8733720149252999 33.200582055457637 143 143 143 0.31360221013975353 93 614 89 723
44 3.6100570503636265 -2.8104189248696612 33.587475479069084 146 146 146 0.52117883600587289 93 602 89 725
45 3.5664828661380832 -2.8004517505248412 33.587349076866111 140 140 140 0.2289349865107618 93 604 89 726
46 2.5910432766363232 -2.802852626329237 33.232242577431009 148 148 148 0.11175216681234748 93 620 89 727
47 3.0676742316282448 -2.7093615324288089 33.39520810557795 147 147 147 0.15081711963969818 93 612 89 731
48 2.9486649732041283 -2.6980449115159861 33.328666249886759 141 141 141 0.14240780095254901 93 617 89 732
49 2.0714598789238146 -3.5722336151870695 30.608459726571567 235 142 116 0.19287741422507509 93 687 89 814
50 4.924094164427963 -3.1311291747846197 34.328322472424219 91 91 91 0.10802713545592099 93 593 89 829
51 5.6346229233481679 -2.58214724009347 34.682082899905787 131 131 131 0.54913782223004981 93 439 89 831
52 2.2915483576721183 -3.3974969175632519 31.025579115944723 188 92 62 0.21687423283355178 93 854 89 901
53 2.1644663339345067 -3.0748904210210295 33.143376794532166 201 201 201 0.14252141762852888 93 820 89 908
54 5.1102945693245294 -2.7802527157919159 34.410563119645275 93 93 93 0.051083627631311322 93 811 89 910
55 5.1102945693245294 -2.7802527157919159 34.410563119645275 93 93 93 0.051083627631311322 93 812 89 911
56 4.5614651324992339 -3.2226828119229394 34.112701424574176 160 160 160 0.074694213922531796 93 858 89 968
57 4.6811764492294827 -3.2087768366590477 34.205799663652805 113 113 113 0.16116678826276976 93 859 89 969
58 4.5717410989605405 -3.1456771028481629 34.132876429084675 118 118 118 0.095316762266930782 93 861 89 971
59 4.6970371329883847 -3.1271321794276372 34.204586339230374 148 148 148 0.13235203080508895 93 862 89 972
60 4.8238310493669401 -2.6877531443312592 34.272712356036671 93 93 93 0.12926005180552219 93 814 89 975
61 4.8238310493669401 -2.6877531443312592 34.272712356036671 93 93 93 0.12926005180552219 93 815 89 976
62 4.8320641079777156 -2.9947281275502546 34.308172561141795 153 153 153 0.23046829943302799 93 937 89 1022
63 4.8320641079777156 -2.9947281275502546 34.308172561141795 153 153 153 0.23046829943302799 93 938 89 1023
64 3.9837702527021248 -2.831988732853659 33.816703621982569 133 133 133 0.04992713563038001 93 889 89 1024
65 5.9595465094831832 -1.9374857572876285 34.741429140249693 190 190 190 0.032268042009783421 93 893 89 1029
66 5.9046861964076065 -1.6066841204745668 34.860700872344182 250 250 250 0.10278625127283383 93 896 89 1030
67 6.0336605975212381 -2.1161540895243194 34.820265308459454 127 127 127 0.17039881477848251 93 941 89 1076
68 6.0336605975212381 -2.1161540895243194 34.820265308459454 127 127 127 0.17039881477848251 93 940 89 1077
69 3.9030424419200971 -3.3618762234872985 33.161519121532642 13 6 2 0.41689130650155715 93 972 89 1106
70 4.3580735538873396 -2.4612952920408611 34.058028945866809 174 174 174 0.17369144750519833 93 977 89 1111
71 3.7172076803039498 -3.4134673621142402 33.090778154966529 184 92 52 0.6259162079623376 93 994 89 1127
72 4.3931144907446518 -3.1971564608692775 33.988887887590899 177 177 177 0.037100839477318612 93 997 89 1128
73 4.3931144907446518 -3.1971564608692775 33.988887887590899 177 177 177 0.037100839477318612 93 998 89 1129
74 4.4705358073651658 -3.0343274280510779 34.072452072092254 125 125 125 0.066503722564128148 93 999 89 1131
75 4.4205455878587419 -2.6623141332824227 34.050353644604215 120 120 120 0.05711567906556371 93 1002 89 1153
76 5.8210159963561479 -1.9726264291540974 34.713472229443518 188 188 188 0.095012702971118995 93 1003 89 1154
